"TryNumb","Date","Portre","IBEX","rsqrd","mse"
"1","2003-04","1","1","0.454969303550838","0.0196666709051937"
"1","2003-05","0.0721456879271707","0.00292780645658364","0.569923591150733","0.012226570509619"
"1","2003-06","0.0291895251741418","0.0543135899208727","0.592280751650297","0.00924298180306208"
"1","2003-07","-0.00598063991407578","0.0291023309986156","0.446651839958962","0.0235181440231459"
"1","2003-08","0.0219780612988717","0.00702374895608338","0.60906971932296","0.00840790015292186"
"1","2003-09","-0.0106396050678325","-0.0573312500145908","0.555358258775593","0.00663238662492643"
"1","2003-10","0.0255824679321114","0.0635330115369883","0.560012082930638","0.00851543324180356"
"1","2003-11","0.0112938875147942","0.0172522617294339","0.794703341239583","0.00324626277556574"
"1","2003-12","0.0214756609168759","0.0668321537831782","0.656101728281801","0.00533258764611989"
"1","2004-01","0.0470654347648837","0.0249056121293068","0.54569175386978","0.0113919773193857"
"1","2004-02","0.232695437291737","0.0402906079794045","-0.0085763617753194","0.873882147221883"
"1","2004-03","-0.0334640539809886","-0.0280384369792028","0.771723785058808","0.00909058866801348"
"1","2004-04","0.0203403282246454","0.0113991969706722","0.754735113119565","0.00274720344552892"
"1","2004-05","-0.0124406172829436","-0.0185215112291141","0.527959585799051","0.00452234357950298"
"1","2004-06","0.0130161007762215","0.0149510639026207","0.753176400200854","0.00260463264337928"
"1","2004-07","-0.00754232615602541","-0.0196823593880161","0.537049093732265","0.00509756533617527"
"1","2004-08","-0.00298388883347249","-0.00628841007610581","0.751747011664081","0.00208125851934327"
"1","2004-09","0.0180205985920219","0.0202935631631616","0.668285615949087","0.00357113727514764"
"1","2004-10","0.0102962401707711","0.0484605689122259","0.381860042141108","0.0140674709151313"
"1","2004-11","0.0156314498364516","0.0326313153113815","0.699728983060873","0.0038832026883459"
"1","2004-12","0.0224280362296601","0.0446105837671116","0.413742603928551","0.010865666044687"
"1","2005-01","0.0491722242030619","0.0157585883419247","0.475450861618896","0.0105647726248015"
"1","2005-02","0.0308629608029181","0.0181159381930054","0.528836877029243","0.00735191787202299"
"1","2005-03","-0.00302633113092697","-0.0140773288587477","0.28059871021254","0.0114731964084469"
"1","2005-04","-0.0128418263428579","-0.0277789995180894","0.421178680858535","0.00749455599924131"
"1","2005-05","0.0729769357462506","0.0472693763847094","0.00725883237980107","0.218673570474172"
"1","2005-06","0.0336177440324397","0.0377741405833207","0.30506729153305","0.0140287787475618"
"1","2005-07","0.029860567699237","0.0339765523986482","0.548117429592567","0.00600030407670848"
"1","2005-08","0.00144581468147785","-0.0105479875509419","0.249320434948834","0.0063311678831583"
"1","2005-09","0.058508972713759","0.0804284155684092","0.398656152973462","0.0144255391859679"
"1","2005-10","-0.016275385315092","-0.0296008446882873","-0.296762080391123","0.00917289797809391"
"1","2005-11","0.0117492162328806","0.00609883942815559","0.0142022770892254","0.0854353795660656"
"1","2005-12","0.0219199830354554","0.0166796670892844","0.110457210649022","0.0104552178457771"
"1","2006-01","0.0630731280900672","0.0345074391025659","0.220784158970242","0.0283257766970574"
"1","2006-02","0.0488561799194488","0.0573111679096014","0.305792906342696","0.0152103072588964"
"1","2006-03","0.0115385465741702","0.00967570992233968","0.305864085576485","0.00817716706018544"
"1","2006-04","0.0134248364476697","0.00322247588992086","0.334105406797187","0.00642400380877471"
"1","2006-05","-0.0640129669831933","-0.046415808282531","-0.242928720631755","0.0136294988484811"
"1","2006-06","0.00553388154475708","0.0183060367157533","0.257139491492101","0.00586941520684297"
"1","2006-07","0.00337091539027759","0.0233718446977969","0.520682413005698","0.00273201985757468"
"1","2006-08","0.027450720403876","0.0276442879770267","0.540524196107218","0.00337713725863504"
"1","2006-09","0.0482605286522726","0.0650489503483105","0.2112079210845","0.0191186345797069"
"1","2006-10","0.0463971943934678","0.063263917395167","0.321321677507475","0.0144847301866299"
"1","2006-11","0.0210829914433778","0.00700209442939714","0.363300918442702","0.00765072451021448"
"1","2006-12","0.00738945483830996","0.0214595827589716","0.246769935451492","0.00427716034452223"
"1","2007-01","0.058302717160666","0.0287491743761707","0.56627184849686","0.0114200848419644"
"1","2007-02","0.011753098739249","-0.0209438336995924","0.123290065270927","0.0124094361688337"
"1","2007-03","0.0219718807937589","0.0276030848309314","0.488737544147892","0.00408693839187271"
"1","2007-04","-0.00860435519247052","-0.018242456980714","0.17042027387285","0.00818376229012777"
"1","2007-05","0.0178089312296127","0.0664227740038954","0.358476570134165","0.00773345268344308"
"1","2007-06","-0.0119758798795475","-0.0285334311505426","-0.0863982320968686","0.00883744102617822"
"1","2007-07","-0.0132081536416879","-0.00601662700611061","0.396314599617638","0.00663584432130541"
"1","2007-08","-0.0251264996624632","-0.0217938021823688","0.236378565697237","0.0060988937255689"
"1","2007-09","-0.0162968167267976","0.00667828261556469","0.218914478922777","0.00960384408960769"
"1","2007-10","0.0353241607361124","0.0901450965595307","-0.025609220345528","0.153564682318229"
"1","2007-11","-0.0387456220075542","-0.00821872246782673","-0.0875635332352207","0.0153822973538614"
"1","2007-12","-0.0497341378326717","-0.0366500150141237","0.0669347050217177","0.0217592762087846"
"1","2008-01","-0.0971150903412993","-0.128656384725351","0.137490289624105","0.022822444416037"
"1","2008-02","0.00129373548420588","-0.00442963257804818","0.119422218437232","0.0116905116208845"
"1","2008-03","-0.00170162921008285","0.00748645496344857","0.209266331586377","0.00780788020440049"
"1","2008-04","0.0143994081783318","0.039889954381453","0.107846682361263","0.00794829048378781"
"1","2008-05","-0.0220589124595069","-0.014306067911022","0.196700736604659","0.00988564782676858"
"1","2008-06","-0.0667135288149644","-0.114308623007352","0.165453866246772","0.0169682904230483"
"1","2008-07","-0.057846981633414","-0.0136889963599615","0.225384883117912","0.014341673864351"
"1","2008-08","0.016298627319709","-0.014644862334957","-0.0595473392882837","0.0110921837203532"
"1","2008-09","-0.103920649645818","-0.0614829906721359","0.208415419566551","0.0279796882560425"
"1","2008-10","-0.138839182821398","-0.17032992036405","0.214065443815222","0.0345805391091007"
"1","2008-11","-0.127861274642518","-0.0225318550488153","0.123127077247283","0.0163772327057329"
"1","2008-12","-0.00866420001419076","0.0320068466562493","0.0488271159862119","0.0225343614092002"
"1","2009-01","0.0378828338698791","-0.0810586822129966","0.102023526415062","0.0138183266957874"
"1","2009-02","-0.0652240130278484","-0.0981610870416875","0.40344825685886","0.0114797860239321"
"1","2009-03","-0.00793125817029928","0.0254694458848037","0.057688637627368","0.0172425302899674"
